,No.,expression,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total
20,1,a!bd!e!h!f+a!b!de!h!f+a!bcd!e!f+a!bc!de!f+!ab!de!f,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,4,3,2,1,16,0,4,1,1,49,0,4,1,1,116,0,3,2,1,13,0,1,1,1,29,0,1,1,1,24,0,1,1,1,4,0,1,1,1,5,0,1,1,1,1
,2,!bc!d!e!gh!i!f+a!b!d!e!g!h!if+a!b!c!e!g!h!if+a!b!c!d!g!h!if+a!bc!d!eg!h!f+a!bc!d!e!hi!f+a!b!cd!eg!h!f+a!b!cd!e!hi!f+a!b!c!deg!h!f+a!b!c!de!hi!f+!abc!d!e!hi!f+!ab!cd!e!hi!f+!ab!c!de!hi!f,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,9,4,2,1,38,0,6,2,1,226,0,5,1,1,388,0,4,2,1,34,0,1,1,1,104,0,1,1,1,91,0,1,1,1,12,0,1,1,1,13,0,1,1,1,1
,3,a!bd!e!h!f+a!b!de!h!f+a!bcd!e!f+a!bc!de!f+!ab!de!f,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,67,18,2,1,489,0,11,2,1,395,0,18,1,1,2718,0,18,3,1,73,0,1,1,1,146,0,1,1,1,121,0,1,1,1,24,0,1,1,1,25,0,1,1,1,1
,4,a!bd+a!cd+e,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,4,9,3,1,46,0,6,3,1,21,0,9,4,1,154,0,9,6,1,19,0,1,1,1,7,0,1,1,1,4,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,5,a!g!i!k+ag!h!l+a!g!hi+agi!l+agi!k+a!h!k+a!c+a!b+f,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,33,26,11,1,743,0,16,7,1,179,0,26,9,1,2883,0,26,15,1,123,0,6,2,1,66,0,2,2,1,19,0,1,1,1,8,0,1,1,1,9,0,1,1,1,1
,6,!ab!cdeg!hij!k!f+a!bc!deg!hij!k!f+!ab!cde!g!h!jf+!ab!cde!g!h!kf+a!bc!de!g!h!jf+a!bc!de!g!h!kf,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,4,3,1,1,20,0,4,1,1,78,0,4,1,1,200,0,3,2,1,14,0,1,1,1,58,0,1,1,1,52,0,1,1,1,5,0,1,1,1,6,0,1,1,1,1
,7,!ab!cde!g!i!j+!ab!cde!h!i!k+a!bc!de!g!i!j+a!bc!de!h!i!k+a!bc!de!g!k+a!bc!de!h!j+!ab!cde!g!k+!ab!cde!h!j,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,8,9,3,1,120,0,6,1,1,116,0,9,2,1,608,0,9,5,1,40,0,1,1,1,60,0,1,1,1,52,0,1,1,1,7,0,1,1,1,8,0,1,1,1,1
,8,!ab!cde!gh!f+a!bc!de!gh!f+!ab!cdeg!hf+a!bc!deg!hf,,,,,,LOF,,,,,,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
