Number,,Size Of Testcases,,,Time(ms),,"Number of variants
"
,,Total,Tmin,Tα,BF,Minimum Search Region,
test20,1,128,27,54,521,30,177
,2,512,81,209,"17,177",675,572
,3,4096,115,1181,"1,329,419","1,487",2560
,4,32,9,12,17,1,75
,5,512,29,104,"6,049",52,516
,6,2048,62,226,"25,098",233,346
,7,1024,58,242,"21,300",362,532
,8,256,36,72,626,71,104
,9,128,16,30,65,13,46
,10,8192,62,414,"189,438",885,588
,11,8192,47,774,"374,740",407,1059
,12,/,/,/,/,/,/
,13,4096,17,159,"15,106",12,414
,14,128,20,55,511,8,248
,15,512,32,164,"8,006",52,640
,16,4096,74,662,"549,860","1,218",2075
,17,2048,21,344,"26,039",43,528
,18,1024,31,311,"19,153",82,610
,19,256,16,116,906,26,212
,20,128,14,43,94,6,68
test25,1,4,3,1,<1,1,18
,2,4096,25,222,"82,051",160,830
,3,32,10,17,21,25,81
,4,32,12,18,23,16,81
,5,16,7,7,3,17,38
,6,256,21,78,927,58,202
,7,256,9,1,586,33,264
,8,64,13,28,78,51,102
,9,256,19,59,503,102,144
,10,512,14,114,"1,648",13,268
,11,2048,17,260,"11,478",22,346
,12,32,6,1,19,3,105
,13,256,18,109,"1,413",80,270
,14,2048,19,226,"9,627",27,330
,15,2048,14,204,"7,156",17,263
,16,4096,18,285,"30,557",23,448
,17,512,21,108,"1,400",45,182
,18,32,10,15,10,19,48
,19,512,10,135,840,11,187
,20,16384,49,885,"915,163",246,1298
,21,64,15,23,80,46,87
,22,16384,40,780,"1,246,003",267,1212
,23,512,20,150,"2,155",32,253
,24,8192,42,338,"77,691",168,362
,25,65536,25,836,"3,308,257",383,1011
