序号,,LIF,,,LOF,,,LRF,,,TOF,,,LNF,,,CORF,,,DORF,,,TNF,,,ENF,,
,,Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min),Maximum time of single variant(ms),Minimum time of single variant(ms),Total time for all variants(min)
test20,1,570,489,0.105683,589,488,0.250933,716,473,0.596083,600,493,0.043433,565,473,0.249417,586,479,0.203083,533,487,0.033683,544,482,0.042467,816,816,0.0136
,2,19930,16408,7.58272,21018,16137,29.8082,22154,15920,59.8626,17813,16397,3.70987,19616,15862,29.5576,20506,15868,25.8307,20020,16645,3.44817,17520,16170,3.67523,16826,16826,0.280433
,3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
,4,19,16,0.004683,19,16,0.00205,20,16,0.009417,17,16,0.000833,19,17,0.002117,18,17,0.00115,18,17,0.000583,18,16,0.00085,17,17,0.000283
,5,7766,5441,10.5035,9708,5675,2.86658,7376,5519,31.3339,7636,5698,0.936567,6614,5573,2.74542,6328,5606,1.855,6106,5682,0.77885,6551,5700,0.91115,5819,5819,0.096983
,6,28364,23305,6.61582,29908,22469,24.2045,28907,22800,60.3605,25993,24153,2.5119,29965,23246,24.1086,29040,22812,21.8965,27157,23716,2.06562,26479,24220,2.54027,25919,25919,0.431983
,7,23939,19681,14.2866,30045,19952,22.0413,24938,19331,104.898,23743,20567,2.88823,23248,19427,21.1231,24506,18963,18.0024,21916,20352,2.4663,22891,19922,2.83027,19437,19437,0.32395
,8,/,/,/,691,547,0.318183,/,/,/,669,599,0.042583,759,559,0.321717,1214,565,0.325817,601,561,0.028767,619,579,0.039733,584,584,0.009733
,9,/,/,/,76,50,0.015033,/,/,/,69,65,0.002233,70,64,0.0154,68,64,0.01315,67,67,0.001117,67,65,0.0022,66,66,0.0011
,10,231908,172947,116.226,240516,173935,192.765,226408,170734,1134.88,190960,179306,18.3807,214551,169855,187.546,226977,172978,169.912,186672,170566,15.0207,202028,177167,18.8227,177080,177080,2.95133
,11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
,12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
,13,21383,13164,29.9975,19954,13424,3.68022,25033,12832,60.7628,19014,13670,1.60333,14834,12956,3.29003,17707,13149,1.99252,16098,14202,1.23138,14983,13876,1.43563,14458,14458,0.240967
,14,685,459,0.45685,774,460,0.138633,852,450,1.16098,567,454,0.050383,523,455,0.1301,528,458,0.0818,496,451,0.039133,555,460,0.049717,473,473,0.007883
,15,16026,6993,18.8596,11159,7146,4.40885,15530,6846,50.9135,11164,7369,1.5876,9649,6954,4.15415,9286,7039,2.66457,8848,7023,1.27758,8328,7207,1.39375,8421,8421,0.14035
,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
,17,29163,23774,29.3106,29143,24322,13.6819,42313,23710,152.869,39670,25481,2.86965,28722,23944,13.707,31853,24266,11.4274,28813,26049,2.25638,29365,24615,2.60768,25173,25173,0.41955
,18,27404,17072,27.0307,30182,17237,12.2476,35847,16916,127,21482,17537,2.5332,21712,17153,11.7943,20780,17137,9.19813,21283,17601,2.18575,19972,17123,2.44438,17696,17696,0.294933
